labels,classes,predictions,time
Neutral,4,"[1.3225841e-04 1.2185010e-11 1.2983992e-03 4.2127022e-06 9.3000251e-01
 6.8562470e-02 1.1358666e-07]",2025-03-15 13:31:45.214133
Sad,5,"[2.6544175e-04 1.6102003e-10 3.6120482e-03 1.7903132e-05 9.4674891e-03
 9.8663712e-01 2.0044131e-09]",2025-03-15 13:31:45.357652
Sad,5,"[4.4690361e-03 4.6463287e-09 6.7576738e-03 7.1894465e-05 1.1550941e-02
 9.7715044e-01 1.3981982e-08]",2025-03-15 13:31:45.506870
Sad,5,"[5.9964437e-02 2.0229413e-08 2.1134913e-02 5.1418948e-04 5.0905917e-02
 8.6747974e-01 8.5317498e-07]",2025-03-15 13:31:45.645230
Sad,5,"[1.3688547e-02 2.2108673e-09 4.9108487e-02 5.3882116e-04 6.3838817e-02
 8.7282377e-01 1.4925780e-06]",2025-03-15 13:31:45.779358
Sad,5,"[3.0257925e-01 1.4201362e-07 2.7540395e-02 9.0846000e-04 5.2653402e-02
 6.1631519e-01 3.1980153e-06]",2025-03-15 13:31:45.930051
Sad,5,"[9.90392864e-02 1.31729124e-07 1.01449445e-01 4.81492782e-04
 3.90699133e-02 7.59957552e-01 2.23927623e-06]",2025-03-15 13:31:46.058679
Sad,5,"[1.3267156e-01 7.2856736e-08 1.6345050e-02 5.3024816e-04 4.0535234e-02
 8.0991709e-01 7.3607680e-07]",2025-03-15 13:31:46.199799
Angry,0,"[9.3937886e-01 3.1322793e-07 2.1561608e-02 5.0353177e-04 1.8972293e-02
 1.9459115e-02 1.2432291e-04]",2025-03-15 13:31:46.328531
Angry,0,"[8.3503741e-01 4.7356042e-07 6.1035037e-02 7.7142025e-04 3.1473275e-02
 7.1604080e-02 7.8204350e-05]",2025-03-15 13:31:46.467651
Angry,0,"[7.4364436e-01 1.5983385e-07 1.9106643e-02 1.3568547e-03 4.5888849e-02
 1.8998455e-01 1.8520252e-05]",2025-03-15 13:31:46.599037
Angry,0,"[8.1342834e-01 1.0655477e-05 2.4933467e-02 1.7025384e-04 2.3276792e-03
 1.5912877e-01 8.1194088e-07]",2025-03-15 13:31:46.743707
Sad,5,"[6.4989790e-02 8.9352523e-07 8.1013916e-03 7.1125025e-05 2.4396940e-03
 9.2439711e-01 9.8099644e-09]",2025-03-15 13:31:46.878715
Sad,5,"[8.2905162e-03 2.0430466e-09 4.6967012e-01 6.5829745e-04 4.2320896e-02
 4.7904703e-01 1.3221103e-05]",2025-03-15 13:31:47.026465
Sad,5,"[3.0055931e-03 1.0160246e-09 2.1684535e-02 1.6145510e-04 2.5449395e-02
 9.4969893e-01 1.0048880e-07]",2025-03-15 13:31:47.161315
Sad,5,"[4.8831427e-03 3.9443866e-09 7.1439646e-02 1.9264031e-04 1.9838436e-02
 9.0364599e-01 2.3313645e-07]",2025-03-15 13:31:47.295434
Angry,0,"[7.8644645e-01 1.5619729e-07 2.0208856e-02 1.4228133e-03 4.6803929e-02
 1.4509115e-01 2.6688960e-05]",2025-03-15 13:31:47.443338
Angry,0,"[7.1435648e-01 1.6308112e-08 3.1470004e-02 4.1789226e-03 1.6381383e-01
 8.5810699e-02 3.7015553e-04]",2025-03-15 13:31:47.578501
Angry,0,"[9.9575967e-01 2.3422286e-08 4.3988720e-04 3.9716627e-04 2.2033565e-03
 1.0762908e-03 1.2365417e-04]",2025-03-15 13:31:47.713158
Angry,0,"[9.2398202e-01 2.8611627e-08 7.9268022e-03 1.6755629e-03 4.5285583e-02
 2.0879606e-02 2.5047400e-04]",2025-03-15 13:31:47.860484
Angry,0,"[9.5651305e-01 3.9886945e-08 6.7537208e-03 1.0034657e-03 2.6742237e-02
 8.6430395e-03 3.4449037e-04]",2025-03-15 13:31:48.005141
