labels,classes,predictions,time
Happy,3,"[1.1703882e-02 2.3110880e-04 2.1777829e-02 5.8972526e-01 3.3751711e-01
 3.7179954e-02 1.8647747e-03]",2021-05-04 21:52:45.107317
Happy,3,"[3.6429742e-03 2.4809423e-04 1.2323324e-02 7.1193087e-01 2.5807250e-01
 9.6568251e-03 4.1253683e-03]",2021-05-04 21:52:45.203841
Happy,3,"[0.01374561 0.00069966 0.04069946 0.5910627  0.312445   0.0389494
 0.00239818]",2021-05-04 21:52:45.295913
Happy,3,"[2.2651204e-03 1.1364269e-04 2.3365026e-02 6.4584100e-01 3.1135082e-01
 1.6241036e-02 8.2341657e-04]",2021-05-04 21:52:45.389431
Happy,3,"[2.4433075e-03 1.4023732e-04 5.2939067e-03 7.7709645e-01 1.9465227e-01
 2.0115262e-02 2.5857255e-04]",2021-05-04 21:52:45.475443
Happy,3,"[4.1039521e-03 2.6876861e-04 6.7133871e-03 7.4527246e-01 2.1113658e-01
 3.1764518e-02 7.4024068e-04]",2021-05-04 21:52:45.565780
Happy,3,"[2.6911602e-03 2.0194724e-04 5.7059708e-03 8.0409169e-01 1.7599033e-01
 1.0261240e-02 1.0576457e-03]",2021-05-04 21:52:45.657335
Happy,3,"[4.0234225e-03 9.3398543e-05 3.8755713e-03 7.4965662e-01 2.2465631e-01
 1.6883399e-02 8.1137358e-04]",2021-05-04 21:52:45.747560
Happy,3,"[2.4607698e-03 9.1102564e-05 7.0263050e-03 7.3698068e-01 2.3758805e-01
 1.4696021e-02 1.1570463e-03]",2021-05-04 21:52:45.833530
Happy,3,"[1.3855509e-03 1.7392464e-05 2.4272322e-03 6.8985689e-01 2.9658148e-01
 9.5941555e-03 1.3721953e-04]",2021-05-04 21:52:45.929543
Happy,3,"[0.00692447 0.00147257 0.00818334 0.63299227 0.32113892 0.0254599
 0.00382852]",2021-05-04 21:52:46.028424
Happy,3,"[0.00604621 0.0011538  0.02071534 0.5935007  0.35279444 0.02461049
 0.00117898]",2021-05-04 21:52:46.115503
Happy,3,"[7.1392413e-03 3.4546122e-04 3.5255529e-02 5.1374263e-01 3.6634105e-01
 7.5612903e-02 1.5630781e-03]",2021-05-04 21:52:46.204346
Happy,3,"[3.3025558e-03 1.2882629e-04 1.1449669e-02 5.6066775e-01 4.0787277e-01
 1.4468446e-02 2.1099923e-03]",2021-05-04 21:52:46.291421
